sample,model,response_time,transcription,accuracy
803b88e0-743f-49c0-bbd7-87308538d386_raw.wav,groq-whisper-large-v3,0.28, LPL.,0
803b88e0-743f-49c0-bbd7-87308538d386_raw.wav,groq-whisper-large-v3-turbo,0.20, L-P-A-L,0
803b88e0-743f-49c0-bbd7-87308538d386_raw.wav,elevenlabs,0.54,"Elle, c'est à elle.",0
803b88e0-743f-49c0-bbd7-87308538d386_raw.wav,fal,0.51,L-P-I-N,0
803b88e0-743f-49c0-bbd7-87308538d386_raw.wav,speechmatics,0.00,,0
803b88e0-743f-49c0-bbd7-87308538d386_raw.wav,openai-gpt-4o-transcribe,1.09,LPN.,0
,,,,
d6d297e2-d911-4698-9e85-cdad87cfd5d2_raw.wav,latice,0.33,"Allô, ici Karim Touhati, je préfère qu'on me contacte par mail.",0
d6d297e2-d911-4698-9e85-cdad87cfd5d2_raw.wav,deepgram-nova-3,0.80,"Allô, ici Karim Touati, je préfère qu'on me contacte par mail.",0
d6d297e2-d911-4698-9e85-cdad87cfd5d2_raw.wav,gladia,1.18,"Allô, ici Karim Touati, je préfère qu'on me contacte par mail.",0
d6d297e2-d911-4698-9e85-cdad87cfd5d2_raw.wav,google-latest_long,1.33,"Allô ici Karim Touati, je préfère qu'on me contacte par mail.",0
d6d297e2-d911-4698-9e85-cdad87cfd5d2_raw.wav,groq-whisper-large-v3,0.51," Allô, ici Karim Touati, je préfère qu'on me contacte par mail.",0
d6d297e2-d911-4698-9e85-cdad87cfd5d2_raw.wav,groq-whisper-large-v3-turbo,0.37," « Allô, ici Karim Toiti, je préfère qu'on me contacte par mail. »",0
d6d297e2-d911-4698-9e85-cdad87cfd5d2_raw.wav,elevenlabs,0.75,Allô ? Ici Karim Touati. Je préfère qu'on me contacte par mail.,0
d6d297e2-d911-4698-9e85-cdad87cfd5d2_raw.wav,fal,1.02,"Allô, ici Karim Touati, je préfère qu'on me contacte par mail.",0
d6d297e2-d911-4698-9e85-cdad87cfd5d2_raw.wav,speechmatics,0.00,,0
d6d297e2-d911-4698-9e85-cdad87cfd5d2_raw.wav,openai-gpt-4o-transcribe,1.54,"Allô, ici Karine Touati, je préfère qu'on me contacte par mail.",0
,,,,
52baae1e-bbe7-4f20-81f4-a63f3d347fb9_raw.wav,latice,0.25,Rendez-vous expertise,0
52baae1e-bbe7-4f20-81f4-a63f3d347fb9_raw.wav,deepgram-nova-3,0.63,Rendez-vous expertise.,0
52baae1e-bbe7-4f20-81f4-a63f3d347fb9_raw.wav,gladia,1.01,Rendez-vous Expertise.,0
52baae1e-bbe7-4f20-81f4-a63f3d347fb9_raw.wav,google-latest_long,0.54,rendez-vous expertise,0
52baae1e-bbe7-4f20-81f4-a63f3d347fb9_raw.wav,groq-whisper-large-v3,0.22, Rendez-vous Expertise.,0
52baae1e-bbe7-4f20-81f4-a63f3d347fb9_raw.wav,groq-whisper-large-v3-turbo,0.32, Rendez-vous expertise.,0
52baae1e-bbe7-4f20-81f4-a63f3d347fb9_raw.wav,elevenlabs,0.47,Rendez-vous expertise.,0
52baae1e-bbe7-4f20-81f4-a63f3d347fb9_raw.wav,fal,0.42,Rendez-vous Expertise.,0
52baae1e-bbe7-4f20-81f4-a63f3d347fb9_raw.wav,speechmatics,0.00,,0
52baae1e-bbe7-4f20-81f4-a63f3d347fb9_raw.wav,openai-gpt-4o-transcribe,0.83,On les voit partir.,0
,,,,
015cc3d9-e4b7-4cb1-bc76-b19dc6ee1774_raw.wav,latice,0.53,"Plaque.: W, Y, trois, cinq, Z, K, H, nom, Z, E, L, D, A, vin, A, deux, F, G, quatre, huit, L, T, code, Q, huit, X comme Xylophone.",0
015cc3d9-e4b7-4cb1-bc76-b19dc6ee1774_raw.wav,deepgram-nova-3,0.82,Plaque. W y trois cinq z k h. Nom z e l d a vingt a deux f g quatre huit l t code q huit x comme xylophone.,0
015cc3d9-e4b7-4cb1-bc76-b19dc6ee1774_raw.wav,gladia,1.74,"Plaque W, Y, 3, 5, Z, K, H, N, Z, E, L, D, A, 20, A, 2, F, G, 4, 8, L, T, Code, Q, 8, X comme xylophone.",0
015cc3d9-e4b7-4cb1-bc76-b19dc6ee1774_raw.wav,google-latest_long,4.40,plaque W Y-3 5 Z KH non Z euh elle d à 20 A2f G4 8L tes codes Q8 x comme xylophone,0
015cc3d9-e4b7-4cb1-bc76-b19dc6ee1774_raw.wav,groq-whisper-large-v3,0.50," Plaque W, Y, 3, 5, Z, K, H, N, Z, E, L, D, A, 20, A, 2, F, G, 4, 8, L, T, Code, Q, 8, X comme xylophone.",0
015cc3d9-e4b7-4cb1-bc76-b19dc6ee1774_raw.wav,groq-whisper-large-v3-turbo,0.39, Plaque. W. Y. 3. 5. Z. K. H. Non. Z. E. L. D. A. 20. A. 2. F. G. 4. 8. L. T. Code. Q. 8. X comme xylophone.,0
015cc3d9-e4b7-4cb1-bc76-b19dc6ee1774_raw.wav,elevenlabs,0.86,Plaque W Y 3 5 Z K H non Z E L D A 20 A 2 F G 4 8 L T code Q 8 X comme xylophone.,0
015cc3d9-e4b7-4cb1-bc76-b19dc6ee1774_raw.wav,fal,1.21,Plaque W Y 3 5 Z K H Nom Z E L D A 20 A 2 F G 4 8 L T Code Q 8 X comme xylophone,0
015cc3d9-e4b7-4cb1-bc76-b19dc6ee1774_raw.wav,speechmatics,0.00,,0
015cc3d9-e4b7-4cb1-bc76-b19dc6ee1774_raw.wav,openai-gpt-4o-transcribe,1.87,Plaque : W Y 3 5 Z K H. Nom : Z E L D A 2 0 A 2 F G 4 8 L T. Code : Q 8 X.,0
,,,,
54c5662b-a8bf-4b62-9365-779bfe14b3a8_raw.wav,latice,0.25,Électrique 208.,0
54c5662b-a8bf-4b62-9365-779bfe14b3a8_raw.wav,deepgram-nova-3,1.26,Électrique deux-cent-huit.,0
54c5662b-a8bf-4b62-9365-779bfe14b3a8_raw.wav,gladia,0.81,Électrique de sandwich,0
54c5662b-a8bf-4b62-9365-779bfe14b3a8_raw.wav,google-latest_long,0.52,électrique 208,0
54c5662b-a8bf-4b62-9365-779bfe14b3a8_raw.wav,groq-whisper-large-v3,0.31, Électrique 208,0
54c5662b-a8bf-4b62-9365-779bfe14b3a8_raw.wav,groq-whisper-large-v3-turbo,0.32, électrique 208,0
54c5662b-a8bf-4b62-9365-779bfe14b3a8_raw.wav,elevenlabs,0.51,Électrique deux cent huit.,0
54c5662b-a8bf-4b62-9365-779bfe14b3a8_raw.wav,fal,1.14,Électrique 208,0
54c5662b-a8bf-4b62-9365-779bfe14b3a8_raw.wav,speechmatics,0.00,,0
54c5662b-a8bf-4b62-9365-779bfe14b3a8_raw.wav,openai-gpt-4o-transcribe,0.66,Électrique 208.,0
,,,,
02f84971-8e95-4221-9c19-0518a4ccf1f8_aug.wav,latice,0.20,Peugeot,0
02f84971-8e95-4221-9c19-0518a4ccf1f8_aug.wav,deepgram-nova-3,0.27,,0
02f84971-8e95-4221-9c19-0518a4ccf1f8_aug.wav,gladia,0.64,,0
02f84971-8e95-4221-9c19-0518a4ccf1f8_aug.wav,google-latest_long,0.22,,0
02f84971-8e95-4221-9c19-0518a4ccf1f8_aug.wav,groq-whisper-large-v3,0.35, Merci.,0
02f84971-8e95-4221-9c19-0518a4ccf1f8_aug.wav,groq-whisper-large-v3-turbo,0.31, Merci.,0
02f84971-8e95-4221-9c19-0518a4ccf1f8_aug.wav,elevenlabs,0.44,Qu'est-ce,0
02f84971-8e95-4221-9c19-0518a4ccf1f8_aug.wav,fal,0.36,Merci.,0
02f84971-8e95-4221-9c19-0518a4ccf1f8_aug.wav,speechmatics,0.00,,0
02f84971-8e95-4221-9c19-0518a4ccf1f8_aug.wav,openai-gpt-4o-transcribe,0.53,Salut!,0
,,,,
c49efea2-7c8d-4955-a2b3-1acdac1998ef_raw.wav,latice,0.29,"Allô, c'est Chloé Morel, est-ce que je peux passer récupérer la voiture cet après-midi ?",0
c49efea2-7c8d-4955-a2b3-1acdac1998ef_raw.wav,deepgram-nova-3,0.55,Allô c'est Chloé Morel. Est-ce que je peux passer récupérer la voiture cet après-midi,0
c49efea2-7c8d-4955-a2b3-1acdac1998ef_raw.wav,gladia,1.26,"Allô, c'est Chloé Morel, est-ce que je peux passer récupérer la voiture cet après-midi ?",0
c49efea2-7c8d-4955-a2b3-1acdac1998ef_raw.wav,google-latest_long,1.70,"Allô, c'est Chloé Morel, est-ce que je peux passer récupérer la voiture cet après-midi.",0
c49efea2-7c8d-4955-a2b3-1acdac1998ef_raw.wav,groq-whisper-large-v3,0.61," Allô, c'est Chloé Morel, est-ce que je peux passer récupérer la voiture cet après-midi ?",0
c49efea2-7c8d-4955-a2b3-1acdac1998ef_raw.wav,groq-whisper-large-v3-turbo,0.36," Allô, c'est Chloé Morel, est-ce que je peux passer récupérer la voiture cet après-midi ?",0
c49efea2-7c8d-4955-a2b3-1acdac1998ef_raw.wav,elevenlabs,0.70,"Allô, c'est Chloé Morel. Est-ce que je peux passer récupérer la voiture cet après-midi ?",0
c49efea2-7c8d-4955-a2b3-1acdac1998ef_raw.wav,fal,0.98,"Allô, c'est Chloé Morel, est-ce que je peux passer récupérer la voiture cet après-midi ?",0
c49efea2-7c8d-4955-a2b3-1acdac1998ef_raw.wav,speechmatics,0.00,,0
c49efea2-7c8d-4955-a2b3-1acdac1998ef_raw.wav,openai-gpt-4o-transcribe,1.12,"Allô, c'est Chloé Morel, est-ce que je peux passer récupérer la voiture cet après-midi?",0
,,,,
cff41f67-2740-4aab-af22-bc35326c3c21_raw.wav,latice,0.41,Lotus,0
cff41f67-2740-4aab-af22-bc35326c3c21_raw.wav,deepgram-nova-3,0.88,Lotus.,0
cff41f67-2740-4aab-af22-bc35326c3c21_raw.wav,gladia,301.99,Lotus,0
cff41f67-2740-4aab-af22-bc35326c3c21_raw.wav,google-latest_long,0.53,lot,0
cff41f67-2740-4aab-af22-bc35326c3c21_raw.wav,groq-whisper-large-v3,0.36, Lotus,0
cff41f67-2740-4aab-af22-bc35326c3c21_raw.wav,groq-whisper-large-v3-turbo,0.22, Lotus.,0
cff41f67-2740-4aab-af22-bc35326c3c21_raw.wav,elevenlabs,0.54,Lotus.,0
cff41f67-2740-4aab-af22-bc35326c3c21_raw.wav,fal,0.83,Lotus.,0
cff41f67-2740-4aab-af22-bc35326c3c21_raw.wav,speechmatics,0.00,,0
cff41f67-2740-4aab-af22-bc35326c3c21_raw.wav,openai-gpt-4o-transcribe,0.73,Lotus,0
,,,,
452740a5-2dc5-437f-a00d-102581d02a45_raw.wav,latice,0.24,Lamborghini,0
452740a5-2dc5-437f-a00d-102581d02a45_raw.wav,deepgram-nova-3,0.25,Lamborghini.,0
452740a5-2dc5-437f-a00d-102581d02a45_raw.wav,gladia,0.85,Lamborghini,0
452740a5-2dc5-437f-a00d-102581d02a45_raw.wav,google-latest_long,0.53,Lamborghini,0
452740a5-2dc5-437f-a00d-102581d02a45_raw.wav,groq-whisper-large-v3,0.21, Lamborghini,0
452740a5-2dc5-437f-a00d-102581d02a45_raw.wav,groq-whisper-large-v3-turbo,0.19, Lamborghini,0
452740a5-2dc5-437f-a00d-102581d02a45_raw.wav,elevenlabs,0.44,Lamborghini.,0
452740a5-2dc5-437f-a00d-102581d02a45_raw.wav,fal,0.38,Lamborghini,0
452740a5-2dc5-437f-a00d-102581d02a45_raw.wav,speechmatics,0.00,,0
452740a5-2dc5-437f-a00d-102581d02a45_raw.wav,openai-gpt-4o-transcribe,0.77,Lamborghini,0
,,,,
9776d013-3de1-43e3-b082-22d61a06da21_aug.wav,latice,0.23,"Peugeot, Peugeot",0
9776d013-3de1-43e3-b082-22d61a06da21_aug.wav,deepgram-nova-3,0.24,,0
9776d013-3de1-43e3-b082-22d61a06da21_aug.wav,gladia,0.98,,0
9776d013-3de1-43e3-b082-22d61a06da21_aug.wav,google-latest_long,0.28,,0
9776d013-3de1-43e3-b082-22d61a06da21_aug.wav,groq-whisper-large-v3,0.29, Merci.,0
9776d013-3de1-43e3-b082-22d61a06da21_aug.wav,groq-whisper-large-v3-turbo,0.20, Merci.,0
9776d013-3de1-43e3-b082-22d61a06da21_aug.wav,elevenlabs,0.45,(bruit de vent fort),0
9776d013-3de1-43e3-b082-22d61a06da21_aug.wav,fal,0.35,Merci.,0
9776d013-3de1-43e3-b082-22d61a06da21_aug.wav,speechmatics,0.00,,0
9776d013-3de1-43e3-b082-22d61a06da21_aug.wav,openai-gpt-4o-transcribe,0.74,Ballet,0
,,,,
2e31cae6-86ba-4649-b125-09a041ba19fb_raw.wav,latice,0.31,"C, A, T, E, R, H, A, M",0
2e31cae6-86ba-4649-b125-09a041ba19fb_raw.wav,deepgram-nova-3,1.02,C a t e r h a m.,0
2e31cae6-86ba-4649-b125-09a041ba19fb_raw.wav,gladia,0.94,C-A-T-E-R-H-A-M,0
2e31cae6-86ba-4649-b125-09a041ba19fb_raw.wav,google-latest_long,1.00,C'est à tes euh air h à M.,0
2e31cae6-86ba-4649-b125-09a041ba19fb_raw.wav,groq-whisper-large-v3,0.31, C-A-T-E-R-H-A-M,0
2e31cae6-86ba-4649-b125-09a041ba19fb_raw.wav,groq-whisper-large-v3-turbo,0.35, C-A-T-E-R-H-A-M,0
2e31cae6-86ba-4649-b125-09a041ba19fb_raw.wav,elevenlabs,0.52,C-A-T-E-R-H-A-M.,0
2e31cae6-86ba-4649-b125-09a041ba19fb_raw.wav,fal,0.91,C-A-T-E-R-H-A-M,0
2e31cae6-86ba-4649-b125-09a041ba19fb_raw.wav,speechmatics,0.00,,0
2e31cae6-86ba-4649-b125-09a041ba19fb_raw.wav,openai-gpt-4o-transcribe,0.61,C-A-T-E-R-H-A-M.,0
,,,,
e99b4605-b9a8-426a-bc6d-ca03c2c6793a_raw.wav,latice,0.25,"Mercedes, CLASSE A",0
e99b4605-b9a8-426a-bc6d-ca03c2c6793a_raw.wav,deepgram-nova-3,1.05,Mercedes Classia.,0
e99b4605-b9a8-426a-bc6d-ca03c2c6793a_raw.wav,gladia,301.53,Mercedes Classe A.,0
e99b4605-b9a8-426a-bc6d-ca03c2c6793a_raw.wav,google-latest_long,0.95,Mercedes Classe A,0
e99b4605-b9a8-426a-bc6d-ca03c2c6793a_raw.wav,groq-whisper-large-v3,0.41, Mercedes Classe A,0
e99b4605-b9a8-426a-bc6d-ca03c2c6793a_raw.wav,groq-whisper-large-v3-turbo,0.41, Merci d'être classé.,0
e99b4605-b9a8-426a-bc6d-ca03c2c6793a_raw.wav,elevenlabs,0.61,Mercedes Classe A.,0
e99b4605-b9a8-426a-bc6d-ca03c2c6793a_raw.wav,fal,0.84,Mercedes Classe A.,0
e99b4605-b9a8-426a-bc6d-ca03c2c6793a_raw.wav,speechmatics,0.00,,0
e99b4605-b9a8-426a-bc6d-ca03c2c6793a_raw.wav,openai-gpt-4o-transcribe,0.70,Mercedes Classe A.,0
,,,,
2702afc2-a2b7-45c1-9644-9d730da612bf_aug.wav,latice,0.26,CHE-ROYCE,0
2702afc2-a2b7-45c1-9644-9d730da612bf_aug.wav,deepgram-nova-3,0.71,Je lui ai fait signe.,0
2702afc2-a2b7-45c1-9644-9d730da612bf_aug.wav,gladia,0.84,"2, 3, 4, 5...",0
2702afc2-a2b7-45c1-9644-9d730da612bf_aug.wav,google-latest_long,0.43,,0
2702afc2-a2b7-45c1-9644-9d730da612bf_aug.wav,groq-whisper-large-v3,0.30, Merci.,0
2702afc2-a2b7-45c1-9644-9d730da612bf_aug.wav,groq-whisper-large-v3-turbo,0.21, Sous-titrage Société Radio-Canada,0
2702afc2-a2b7-45c1-9644-9d730da612bf_aug.wav,elevenlabs,0.46,(musique en fond),0
2702afc2-a2b7-45c1-9644-9d730da612bf_aug.wav,fal,0.40,Merci.,0
2702afc2-a2b7-45c1-9644-9d730da612bf_aug.wav,speechmatics,0.00,,0
2702afc2-a2b7-45c1-9644-9d730da612bf_aug.wav,openai-gpt-4o-transcribe,0.47,J'ai vu Gerson.,0
,,,,
62949007-02a5-4320-99fd-ee269920fb2c_raw.wav,latice,0.26,Carnet d'entretien complet,0
62949007-02a5-4320-99fd-ee269920fb2c_raw.wav,deepgram-nova-3,0.91,Carnet d'entretien complet.,0
62949007-02a5-4320-99fd-ee269920fb2c_raw.wav,gladia,0.83,carnet d'entretien complet.,0
62949007-02a5-4320-99fd-ee269920fb2c_raw.wav,google-latest_long,0.68,carnet d'entretien complet,0
62949007-02a5-4320-99fd-ee269920fb2c_raw.wav,groq-whisper-large-v3,0.40, d'entretien complet.,0
62949007-02a5-4320-99fd-ee269920fb2c_raw.wav,groq-whisper-large-v3-turbo,0.20, d'entretien complet,0
62949007-02a5-4320-99fd-ee269920fb2c_raw.wav,elevenlabs,0.48,Carnet d'entretien complet.,0
62949007-02a5-4320-99fd-ee269920fb2c_raw.wav,fal,0.65,d'entretien complet,0
62949007-02a5-4320-99fd-ee269920fb2c_raw.wav,speechmatics,0.00,,0
62949007-02a5-4320-99fd-ee269920fb2c_raw.wav,openai-gpt-4o-transcribe,0.50,Terminer l'entretien complet,0
,,,,
4c5069db-74e2-4f8c-a080-c315244284be_raw.wav,latice,0.42,"T comme Tigre, Y comme Yacht, quatre, Z comme Zèbre, neuf, W comme Wagon, deux, N comme Nord.",0
4c5069db-74e2-4f8c-a080-c315244284be_raw.wav,deepgram-nova-3,0.92,"T comme tigre, y comme yacht, quatre, z comme zèbre, neuf, w comme wagon, deux, n comme nord.",0
4c5069db-74e2-4f8c-a080-c315244284be_raw.wav,gladia,1.29,"T comme tigre, Y comme yacht, 4, Z comme zèbre, 9, W comme wagon, 2, N comme nord.",0
4c5069db-74e2-4f8c-a080-c315244284be_raw.wav,google-latest_long,2.50,T comme tigre y comme yacht 4 Z comme zèbre neuf W comme wagon 2 N comme Nord.,0
4c5069db-74e2-4f8c-a080-c315244284be_raw.wav,groq-whisper-large-v3,0.51," T comme tigre, Y comme yacht, 4, Z comme zèbre, 9, W comme wagon, 2, N comme nord.",0
4c5069db-74e2-4f8c-a080-c315244284be_raw.wav,groq-whisper-large-v3-turbo,0.30," T comme tigre, Y comme yacht, 4, Z comme zèbre, 9, W comme wagon, 2, N comme nord.",0
4c5069db-74e2-4f8c-a080-c315244284be_raw.wav,elevenlabs,0.83,"T comme tigre, Y comme yacht. Quatre. Z comme zèbre. Neuf. W comme wagon. Deux. N comme Nord.",0
4c5069db-74e2-4f8c-a080-c315244284be_raw.wav,fal,1.13,"T comme tigre, Y comme yacht, 4, Z comme zèbre, 9, W comme wagon, 2, N comme nord.",0
4c5069db-74e2-4f8c-a080-c315244284be_raw.wav,speechmatics,0.00,,0
4c5069db-74e2-4f8c-a080-c315244284be_raw.wav,openai-gpt-4o-transcribe,0.93,"T comme Tigre, Y comme Yacht, 4, Z comme Zèbre, 9, W comme Wagon, 2, N comme Nord.",0
,,,,
9459ea59-25ac-43e5-aa5b-df87dc5af3d5_aug.wav,latice,0.20,C-Town,0
9459ea59-25ac-43e5-aa5b-df87dc5af3d5_aug.wav,deepgram-nova-3,0.84,,0
9459ea59-25ac-43e5-aa5b-df87dc5af3d5_aug.wav,gladia,0.61,,0
9459ea59-25ac-43e5-aa5b-df87dc5af3d5_aug.wav,google-latest_long,0.39,,0
9459ea59-25ac-43e5-aa5b-df87dc5af3d5_aug.wav,groq-whisper-large-v3,0.31, Merci.,0
9459ea59-25ac-43e5-aa5b-df87dc5af3d5_aug.wav,groq-whisper-large-v3-turbo,0.20, Merci.,0
9459ea59-25ac-43e5-aa5b-df87dc5af3d5_aug.wav,elevenlabs,0.52,(bruit de radio) (bruit de transition),0
9459ea59-25ac-43e5-aa5b-df87dc5af3d5_aug.wav,fal,0.41,Merci.,0
9459ea59-25ac-43e5-aa5b-df87dc5af3d5_aug.wav,speechmatics,0.00,,0
9459ea59-25ac-43e5-aa5b-df87dc5af3d5_aug.wav,openai-gpt-4o-transcribe,0.51,Bonjour.,0
,,,,
8db97f79-55e0-4786-bc32-1c1b320b6409_raw.wav,latice,0.24,Renault Duster,0
8db97f79-55e0-4786-bc32-1c1b320b6409_raw.wav,deepgram-nova-3,0.47,Renaud Duster,0
8db97f79-55e0-4786-bc32-1c1b320b6409_raw.wav,gladia,0.89,Bonne août à,0
8db97f79-55e0-4786-bc32-1c1b320b6409_raw.wav,google-latest_long,0.44,,0
